Europe & Central Asia (IDA & IBRD countries),66.2868323125935
Togo,41.702
Thailand,49.949
Tajikistan,27.134
Turkmenistan,51.593
Latin America & the Caribbean (IDA & IBRD countries),80.60141231642879
Timor-Leste,30.578000000000003
Middle East & North Africa (IDA & IBRD countries),61.414542998284595
Tonga,23.131
South Asia (IDA & IBRD),33.9923612456427
Sub-Saharan Africa (IDA & IBRD countries),40.176823372951496
Trinidad and Tobago,53.184
Tunisia,68.945
Turkey,75.143
Tuvalu,62.387
Tanzania,33.775999999999996
Uganda,23.774
Ukraine,69.352
Upper middle income,66.2333682980853
Uruguay,95.334
United States,82.256
Uzbekistan,50.478
St. Vincent and the Grenadines,52.198
"Venezuela, RB",88.208
British Virgin Islands,47.723
Virgin Islands (U.S.),95.721
Vietnam,35.919000000000004
Vanuatu,25.274
World,55.2705785486132
Samoa,18.243
Kosovo,
"Yemen, Rep.",36.641999999999996
South Africa,66.355
Zambia,43.521
Zimbabwe,32.209
