Country,Life expectancy at birth (years),Life expectancy at age 60 (years),Healthy life expectancy (HALE) at birth (years),Healthy life expectancy (HALE) at age 60 (years)
Senegal,66.8,16.9,58.8,12.9
Serbia,76.3,19.8,67.4,15.1
Seychelles,73.3,19.6,65.7,15.7
Sierra Leone,53.1,13.3,47.6,10.3
Singapore,82.9,25.0,76.2,21.0
Slovakia,77.4,21.3,68.3,16.3
Slovenia,80.9,23.7,70.5,17.6
Solomon Islands,71.1,17.7,61.9,13.1
Somalia,55.4,16.3,50.0,12.7
South Africa,63.6,16.6,55.7,12.5
South Sudan,58.6,16.6,50.6,12.3
Spain,83.1,25.4,73.8,20.3
Sri Lanka,75.3,20.8,66.8,16.1
Sudan,65.1,17.9,55.7,13.0
Suriname,71.8,19.2,63.2,14.7
Sweden,82.4,24.6,72.4,19.2
Switzerland,83.3,25.5,73.5,20.1
Syrian Arab Republic,63.8,18.5,55.8,13.9
Tajikistan,70.8,17.7,63.5,14.3
Thailand,75.5,22.1,66.8,17.0
Republic of North Macedonia,75.9,19.5,67.1,15.0
Timor-Leste,68.6,17.1,59.2,11.1
Togo,60.6,15.3,53.9,11.9
Tonga,73.4,18.9,64.3,14.2
Trinidad and Tobago,71.8,19.6,63.3,15.0
Tunisia,76.0,20.1,66.3,15.1
Turkey,76.4,21.2,66.0,15.5
Turkmenistan,68.2,17.4,61.4,13.9
Uganda,62.5,17.1,54.9,12.8
Ukraine,72.5,19.1,64.0,14.7
United Arab Emirates,77.2,20.2,66.7,14.9
United Kingdom of Great Britain and Northern Ireland,81.4,24.2,71.9,19.2
United Republic of Tanzania,63.9,17.5,56.5,13.4
United States of America,78.5,23.3,68.5,17.9
Uruguay,77.1,22.3,68.8,17.6
Uzbekistan,72.3,18.4,64.5,14.5
Vanuatu,72.0,18.2,62.7,13.7
Venezuela (Bolivarian Republic of),74.1,21.6,66.1,17.0
Viet Nam,76.3,22.7,67.5,17.2
Yemen,65.3,16.4,55.1,11.4
Zambia,62.3,17.5,54.3,12.7
Zimbabwe,61.4,17.5,54.4,13.4
