pays,popu,tranches_age,value
Comoros,872,B,402
Djibouti,987,B,497
Eritrea,3546,B,1547
Ethiopia,114962,B,53142
Kenya,53772,B,25835
Madagascar,27690,B,12596
Malawi,19131,B,8647
Mauritius,1273,B,566
Mayotte,272,B,122
Mozambique,31258,B,13713
Réunion,895,B,345
Rwanda,12952,B,5987
Seychelles,96,B,40
Somalia,15895,B,6608
South Sudan,11191,B,4990
Uganda,45741,B,19996
United Republic of Tanzania,59736,B,26128
Zambia,18385,B,8295
Zimbabwe,14863,B,6728
Angola,32866,B,13870
Cameroon,26545,B,12011
Central African Republic,4829,B,2121
Chad,16426,B,7017
Congo,5517,B,2421
Democratic Republic of the Congo,89562,B,37034
Equatorial Guinea,1404,B,725
Gabon,2225,B,1039
Sao Tome and Principe,220,B,97
Botswana,2352,B,1143
Eswatini,1162,B,564
Lesotho,2144,B,1059
Namibia,2539,B,1204
South Africa,59307,B,29019
Benin,12123,B,5328
Burkina Faso,20904,B,9136
Cabo Verde,557,B,282
Côte d'Ivoire,26378,B,11924
Gambia,2417,B,1067
Ghana,31070,B,14351
Guinea,13132,B,5848
Guinea-Bissau,1968,B,892
Liberia,5057,B,2268
Mali,20251,B,8441
Mauritania,4650,B,2112
Niger,24207,B,9449
Nigeria,206142,B,88916
Senegal,16744,B,7382
Sierra Leone,7975,B,3670
Togo,8280,B,3746
Algeria,43852,B,19774
Egypt,102334,B,46452
Libya,6871,B,3385
Morocco,36911,B,16820
Sudan,43849,B,19658
Tunisia,11819,B,5273
Western Sahara,598,B,309
Armenia,2959,B,1273
Azerbaijan,10139,B,4676
Bahrain,1700,B,1051
Cyprus,1206,B,540
Georgia,3988,B,1547
Iraq,40224,B,18871
Israel,8658,B,3531
Jordan,10201,B,4939
Kuwait,4270,B,2063
Lebanon,6823,B,3215
Oman,5108,B,3140
Qatar,2881,B,1924
Saudi Arabia,34814,B,18132
State of Palestine,5099,B,2394
Syrian Arab Republic,17500,B,8677
Turkey,84337,B,38779
United Arab Emirates,9892,B,6626
Yemen,29825,B,14437
Kazakhstan,18779,B,7868
Kyrgyzstan,6525,B,2959
Tajikistan,9538,B,4323
Turkmenistan,6033,B,2831
Uzbekistan,33468,B,16164
Afghanistan,38927,B,17857
Bangladesh,164688,B,83087
Bhutan,771,B,412
India,1380004,B,671804
Iran (Islamic Republic of),83994,B,41104
Maldives,541,B,341
Nepal,29137,B,14465
Pakistan,220893,B,104338
Sri Lanka,21414,B,8911
China,1439323,B,592593
"China, Hong Kong SAR",7499,B,2822
"China, Macao SAR",649,B,284
"China, Taiwan Province of China",23817,B,9914
Dem. People's Republic of Korea,25778,B,11000
Japan,126477,B,40774
Mongolia,3279,B,1506
Republic of Korea,51269,B,20196
Brunei Darussalam,435,B,215
Cambodia,16719,B,8093
Indonesia,273523,B,127736
Lao People's Democratic Republic,7278,B,3576
Malaysia,32367,B,16188
Myanmar,54410,B,26067
Philippines,109581,B,52101
Singapore,5851,B,2469
Thailand,69801,B,28548
Timor-Leste,1318,B,604
Viet Nam,97339,B,45125
Antigua and Barbuda,99,B,43
Aruba,108,B,40
Bahamas,394,B,182
Barbados,288,B,113
Cuba,11326,B,4205
Curaçao,163,B,58
Dominican Republic,10849,B,5047
Grenada,114,B,52
Guadeloupe,400,B,132
Haiti,11402,B,5547
Jamaica,2960,B,1377
Martinique,373,B,118
Puerto Rico,2859,B,1000
Saint Lucia,182,B,87
Saint Vincent and the Grenadines,111,B,50
Trinidad and Tobago,1398,B,616
United States Virgin Islands,103,B,35
Belize,395,B,198
Costa Rica,5093,B,2361
El Salvador,6488,B,3068
Guatemala,17915,B,8847
Honduras,9906,B,4998
Mexico,128934,B,60358
Nicaragua,6622,B,3245
Panama,4312,B,1941
Argentina,45195,B,20067
Bolivia (Plurinational State of),11673,B,5483
Brazil,212559,B,100461
Chile,19116,B,8510
Colombia,50882,B,24324
Ecuador,17644,B,8290
French Guiana,299,B,133
Guyana,786,B,358
Paraguay,7133,B,3496
Peru,32971,B,15347
Suriname,588,B,265
Uruguay,3473,B,1453
Venezuela (Bolivarian Republic of),28437,B,12528
Australia,25500,B,10243
New Zealand,4820,B,1871
Fiji,894,B,409
New Caledonia,286,B,126
Papua New Guinea,8947,B,4210
Solomon Islands,687,B,301
Vanuatu,308,B,138
Guam,168,B,73
Kiribati,118,B,54
Micronesia (Fed. States of),115,B,55
French Polynesia,281,B,124
Samoa,200,B,83
Tonga,104,B,45
Belarus,9449,B,3704
Bulgaria,6949,B,2497
Czechia,10708,B,4001
Hungary,9661,B,3710
Poland,37849,B,15131
Republic of Moldova,4034,B,1849
Romania,19238,B,7190
Russian Federation,145936,B,57764
Slovakia,5460,B,2224
Ukraine,43733,B,17424
Channel Islands,173,B,66
Denmark,5791,B,2148
Estonia,1326,B,491
Finland,5539,B,2019
Iceland,339,B,138
Ireland,4940,B,1972
Latvia,1888,B,660
Lithuania,2723,B,937
Norway,5422,B,2134
Sweden,10098,B,3747
United Kingdom,67887,B,25848
Albania,2879,B,1216
Bosnia and Herzegovina,3279,B,1247
Croatia,4105,B,1497
Greece,10423,B,3701
Italy,60463,B,20168
Malta,442,B,172
Montenegro,628,B,255
North Macedonia,2083,B,885
Portugal,10195,B,3579
Serbia,8738,B,3452
Slovenia,2078,B,739
Spain,46753,B,16759
Austria,9005,B,3377
Belgium,11591,B,4283
France,65274,B,23214
Germany,83784,B,29428
Luxembourg,625,B,265
Netherlands,17136,B,6216
Switzerland,8657,B,3256
Canada,37742,B,14825
United States of America,331002,B,132300
Burundi,11890,C,994
Comoros,872,C,103
Djibouti,987,C,158
Eritrea,3546,C,380
Ethiopia,114962,C,11865
Kenya,53772,C,5838
Madagascar,27690,C,3142
Malawi,19131,C,1754
Mauritius,1273,C,333
Mayotte,272,C,33
Mozambique,31258,C,2878
Réunion,895,C,235
Rwanda,12952,C,1448
Seychelles,96,C,25
Somalia,15895,C,1490
South Sudan,11191,C,1201
Uganda,45741,C,3789
United Republic of Tanzania,59736,C,6011
Zambia,18385,C,1606
Zimbabwe,14863,C,1458
Angola,32866,C,3028
Cameroon,26545,C,2647
Central African Republic,4829,C,471
Chad,16426,C,1363
Congo,5517,C,667
Democratic Republic of the Congo,89562,C,8809
Equatorial Guinea,1404,C,129
Gabon,2225,C,278
Sao Tome and Principe,220,C,24
Botswana,2352,C,317
Eswatini,1162,C,116
Lesotho,2144,C,287
Namibia,2539,C,308
South Africa,59307,C,9939
Benin,12123,C,1312
Burkina Faso,20904,C,1989
Cabo Verde,557,C,92
Côte d'Ivoire,26378,C,2745
Gambia,2417,C,226
Ghana,31070,C,4207
Guinea,13132,C,1243
Guinea-Bissau,1968,C,194
Liberia,5057,C,580
Mali,20251,C,1788
Mauritania,4650,C,544
Niger,24207,C,2105
Nigeria,206142,C,21936
Senegal,16744,C,1710
Sierra Leone,7975,C,855
Togo,8280,C,929
Algeria,43852,C,7622
Egypt,102334,C,15714
Libya,6871,C,1266
Morocco,36911,C,7403
Sudan,43849,C,5128
Tunisia,11819,C,2626
Western Sahara,598,C,107
Armenia,2959,C,721
Azerbaijan,10139,C,2395
Bahrain,1700,C,293
Cyprus,1206,C,292
Georgia,3988,C,1027
Iraq,40224,C,4798
Israel,8658,C,1643
Jordan,10201,C,1507
Kuwait,4270,C,1161
Lebanon,6823,C,1383
Oman,5108,C,691
Qatar,2881,C,516
Saudi Arabia,34814,C,6867
State of Palestine,5099,C,586
Syrian Arab Republic,17500,C,2584
Turkey,84337,C,17793
United Arab Emirates,9892,C,1676
Yemen,29825,C,2933
Kazakhstan,18779,C,3954
Kyrgyzstan,6525,C,1126
Tajikistan,9538,C,1357
Turkmenistan,6033,C,1056
Uzbekistan,33468,C,6062
Afghanistan,38927,C,3758
Bangladesh,164688,C,28932
Bhutan,771,C,119
India,1380004,C,256463
Iran (Islamic Republic of),83994,C,16591
Maldives,541,C,75
Nepal,29137,C,4579
Pakistan,220893,C,30035
Sri Lanka,21414,C,5026
China,1439323,C,419537
"China, Hong Kong SAR",7499,C,2361
"China, Macao SAR",649,C,194
"China, Taiwan Province of China",23817,C,7099
Dem. People's Republic of Korea,25778,C,7253
Japan,126477,C,34043
Mongolia,3279,C,612
Republic of Korea,51269,C,16546
Brunei Darussalam,435,C,99
Cambodia,16719,C,2644
Indonesia,273523,C,57716
Lao People's Democratic Republic,7278,C,1067
Malaysia,32367,C,6265
Myanmar,54410,C,11083
Philippines,109581,C,18519
Singapore,5851,C,1882
Thailand,69801,C,20654
Timor-Leste,1318,C,172
Viet Nam,97339,C,21980
Antigua and Barbuda,99,C,25
Aruba,108,C,33
Bahamas,394,C,97
Barbados,288,C,79
Cuba,11326,C,3518
Curaçao,163,C,47
Dominican Republic,10849,C,2009
Grenada,114,C,24
Guadeloupe,400,C,117
Haiti,11402,C,1562
Jamaica,2960,C,623
Martinique,373,C,115
Puerto Rico,2859,C,813
Saint Lucia,182,C,44
Saint Vincent and the Grenadines,111,C,26
Trinidad and Tobago,1398,C,341
United States Virgin Islands,103,C,27
Belize,395,C,62
Costa Rica,5093,C,1148
El Salvador,6488,C,1133
Guatemala,17915,C,2192
Honduras,9906,C,1385
Mexico,128934,C,25443
Nicaragua,6622,C,1048
Panama,4312,C,861
Argentina,45195,C,8947
Bolivia (Plurinational State of),11673,C,1790
Brazil,212559,C,47690
Chile,19116,C,4589
Colombia,50882,C,10660
Ecuador,17644,C,3182
French Guiana,299,C,54
Guyana,786,C,155
Paraguay,7133,C,1090
Peru,32971,C,6607
Suriname,588,C,125
Uruguay,3473,C,791
Venezuela (Bolivarian Republic of),28437,C,5889
Australia,25500,C,6203
New Zealand,4820,C,1224
Fiji,894,C,174
New Caledonia,286,C,69
Papua New Guinea,8947,C,1274
Solomon Islands,687,C,86
Vanuatu,308,C,41
Guam,168,C,38
Kiribati,118,C,18
Micronesia (Fed. States of),115,C,19
French Polynesia,281,C,70
Samoa,200,C,33
Tonga,104,C,17
Belarus,9449,C,2644
Bulgaria,6949,C,1939
Czechia,10708,C,2863
Hungary,9661,C,2611
Poland,37849,C,9865
Republic of Moldova,4034,C,1040
Romania,19238,C,5362
Russian Federation,145936,C,38743
Slovakia,5460,C,1475
Ukraine,43733,C,11904
Channel Islands,173,C,50
Denmark,5791,C,1533
Estonia,1326,C,347
Finland,5539,C,1392
Iceland,339,C,83
Ireland,4940,C,1219
Latvia,1888,C,527
Lithuania,2723,C,803
Norway,5422,C,1401
Sweden,10098,C,2518
United Kingdom,67887,C,17375
Albania,2879,C,743
Bosnia and Herzegovina,3279,C,969
Croatia,4105,C,1139
Greece,10423,C,2976
Italy,60463,C,18354
Malta,442,C,111
Montenegro,628,C,161
North Macedonia,2083,C,557
Portugal,10195,C,2964
Serbia,8738,C,2278
Slovenia,2078,C,594
Spain,46753,C,13923
Austria,9005,C,2602
Belgium,11591,C,3101
France,65274,C,16990
Germany,83784,C,24493
Luxembourg,625,C,174
Netherlands,17136,C,4796
Switzerland,8657,C,2453
Canada,37742,C,10128
United States of America,331002,C,82843
Burundi,11890,D,208
Comoros,872,D,19
Djibouti,987,D,32
Eritrea,3546,D,107
Ethiopia,114962,D,2756
Kenya,53772,D,1012
Madagascar,27690,D,611
Malawi,19131,D,356
Mauritius,1273,D,108
Mayotte,272,D,7
Mozambique,31258,D,631
Réunion,895,D,69
Rwanda,12952,D,295
Seychelles,96,D,5
Somalia,15895,D,335
South Sudan,11191,D,256
Uganda,45741,D,668
United Republic of Tanzania,59736,D,1147
Zambia,18385,D,279
Zimbabwe,14863,D,300
Angola,32866,D,517
Cameroon,26545,D,523
Central African Republic,4829,D,96
Chad,16426,D,293
Congo,5517,D,111
Democratic Republic of the Congo,89562,D,1888
Equatorial Guinea,1404,D,24
Gabon,2225,D,53
Sao Tome and Principe,220,D,5
Botswana,2352,D,75
Eswatini,1162,D,31
Lesotho,2144,D,72
Namibia,2539,D,60
South Africa,59307,D,2265
Benin,12123,D,272
Burkina Faso,20904,D,370
Cabo Verde,557,D,16
Côte d'Ivoire,26378,D,562
Gambia,2417,D,44
Ghana,31070,D,722
Guinea,13132,D,284
Guinea-Bissau,1968,D,43
Liberia,5057,D,116
Mali,20251,D,362
Mauritania,4650,D,104
Niger,24207,D,468
Nigeria,206142,D,4319
Senegal,16744,D,366
Sierra Leone,7975,D,166
Togo,8280,D,180
Algeria,43852,D,1867
Egypt,102334,D,3827
